Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
wolf.jpg	wheat.jpg	"(959, 890)"	"(1331, 263)"	lobo	trigo	3	S	5	0	elige_el_dibujo_de_un_lobo.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.38980784
camel.jpg	belt.jpg	"(1564, 540)"	"(355, 540)"	camello	cinturon	3	S	5	0	elige_el_dibujo_de_un_camello.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.402833438
clock.jpg	mop.jpg	"(588, 263)"	"(1564, 540)"	reloj	trapeador	3	S	5	0	elige_el_dibujo_de_un_reloj.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.441719228
soldier.jpg	trophy.jpg	"(1564, 540)"	"(959, 890)"	soldado	trofeo	3	S_HT	7	6	elige_el_dibujo_de_un_soldado.wav	880	1074	1954	3	3	4.159	2.197	1009	1524	exp	r	m	c	0.353202346
511glass.jpg	strawberry.jpg	"(1331, 263)"	"(1331, 816)"	copa	fresa	3	S_HT	5	4	encuentra_el_dibujo_de_una_copa.wav	924	970	1894	2	2	4.828	2.197224577	859	1001	exp	r	f	NA	0.883765338
fireman.jpg	picture.jpg	"(1331, 263)"	"(959, 890)"	bombero	cuadro	3	S_LT	5	10	encuentra_el_dibujo_de_un_bombero.wav	940	927	1867	3	1	1.792	5.017	947	1253	exp	r	m	NA	0.343075178
thumb.jpg	nail.jpg	"(959, 890)"	"(588, 263)"	thumb	nail	3	CS	6	0	elige_el_drawing_of_a_thumb.wav	897	829	1726	0	0	0	0	0	0	fill	r	m	NA	0.415921409
church.jpg	teapot.jpg	"(588, 263)"	"(1331, 816)"	church	teapot	3	CS_HT	6	24	encuentra_el_drawing_of_a_church.wav	927	841	1768	1	2	5.215	1.609	1009	1302	exp	r	f	NA	0.44316921
stethoscope.jpg	plate.jpg	"(959, 890)"	"(1331, 263)"	stethoscope	plate	3	CS_LT	6	26	elige_el_drawing_of_a_stethoscope.wav	897	829	1726	3	1	0.693	4.025	1281	1051	exp	r	m	c	0.476522545
comb.jpg	baby.jpg	"(1564, 540)"	"(588, 263)"	peine	bebe	3	S	6	0	encuentra_el_dibujo_de_un_peine.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.425335556
bench.jpg	purse.jpg	"(1331, 263)"	"(355, 540)"	banca	bolsa	3	S	6	0	encuentra_el_dibujo_de_una_banca.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.445062928
tank.jpg	pants.jpg	"(959, 890)"	"(355, 540)"	tanque	pantalon	3	S	6	0	elige_el_dibujo_de_un_tanque.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.447807577
bathtub.jpg	rock.jpg	"(1564, 540)"	"(355, 540)"	tina	piedra	3	S_LT	6	16	encuentra_el_dibujo_de_una_tina.wav	924	970	1894	2	2	1.386	5.182	1377	971	exp	r	f	NA	0.448419566
washingmachine.jpg	rain.jpg	"(1331, 816)"	"(588, 263)"	lavadora	lluvia	3	S_LT	6	15	elige_el_dibujo_de_una_lavadora.wav	816	1047	1863	4	2	1.386	5.257	1104	1006	exp	r	f	NA	0.468285879
wheelchair.jpg	rose.jpg	"(588, 263)"	"(1564, 540)"	wheelchair	rose	3	CS	7	0	encuentra_el_drawing_of_a_wheelchair.wav	927	841	1768	0	0	0	0	0	0	fill	r	f	NA	0.51623879
typewriter.jpg	beard.jpg	"(588, 816)"	"(588, 263)"	typewriter	beard	3	CS	5	0	elige_el_drawing_of_a_typewriter.wav	897	829	1726	0	0	0	0	0	0	fill	r	f	NA	0.530607117
skeleton.jpg	submarine.jpg	"(588, 816)"	"(959, 189)"	skeleton	submarine	3	CS	7	0	encuentra_el_drawing_of_a_submarine.wav	927	841	1768	0	0	0	0	0	0	fill	r	m	NA	0.538677254
city.jpg	canoe.jpg	"(355, 540)"	"(1331, 263)"	city	canoe	3	CS_HT	7	17	encuentra_el_drawing_of_a_city.wav	927	841	1768	2	2	5.553	1.946	1165	1021	exp	r	f	c	0.505518882
bone.jpg	bra.jpg	"(355, 540)"	"(1564, 540)"	hueso	brassiere	3	S	7	0	encuentra_el_dibujo_de_un_hueso.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.458277793
hoof.jpg	scarf.jpg	"(959, 189)"	"(1564, 540)"	pata	bufanda	3	S	7	0	encuentra_el_dibujo_de_una_pata.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.501240394
robot.jpg	microscope.jpg	"(1331, 263)"	"(355, 540)"	robots	microscopio	3	S	7	0	elige_el_dibujo_de_un_robots.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.991378142
zebra.jpg	bottle.jpg	"(588, 263)"	"(959, 890)"	cebra	botella	3	S_LT	7	11	elige_el_dibujo_de_una_cebra.wav	816	1047	1863	2	3	1.792	4.754	1019	870	exp	r	f	c	0.525156693
monkey.jpg	swing.jpg	"(355, 540)"	"(959, 189)"	monkey	swing	3	CS	8	0	encuentra_el_drawing_of_a_monkey.wav	927	841	1768	0	0	0	0	0	0	fill	r	m	NA	0.542966117
gas.jpg	wood.jpg	"(588, 263)"	"(588, 816)"	gas	wood	3	CS	8	0	elige_el_drawing_of_gas.wav	897	727	1624	0	0	0	0	0	0	fill	r	f	NA	0.624235363
toe.jpg	trash.jpg	"(588, 816)"	"(1331, 263)"	toe	trash	3	CS	8	0	elige_el_drawing_of_a_toe.wav	897	829	1726	0	0	0	0	0	0	fill	r	"f; pl, m"	NA	0.632975975
helmet.jpg	rainbow.jpg	"(1331, 263)"	"(588, 816)"	helmet	rainbow	3	CS	11	0	elige_el_drawing_of_a_helmet.wav	897	829	1726	0	0	0	0	0	0	fill	r	m	NA	0.978712352
pillow.jpg	feather.jpg	"(355, 540)"	"(1331, 816)"	almohada	pluma	3	S	8	0	elige_el_dibujo_de_una_almohada.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.494204988
nest.jpg	rocket.jpg	"(1331, 816)"	"(959, 189)"	nido	cohete	3	S	8	0	elige_el_dibujo_de_un_nido.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.572079839
tiger.jpg	spaghetti.jpg	"(355, 540)"	"(1331, 816)"	tigre	espagueti	3	S	8	0	encuentra_el_dibujo_de_un_tigre.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.606438893
sailor.jpg	desert.jpg	"(588, 263)"	"(959, 890)"	marinero	desierto	3	S	8	0	elige_el_dibujo_de_un_marinero.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.654123387
