"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Time","Region"
"196","p02",0.708333333,"CS","HT",43,"2",40,160,0.25,"L",860,"200_pre_200_post_word"
"197","p02",0.708333333,"CS","HT",44,"1",80,160,0.5,"H",880,"200_pre_200_post_word"
"198","p02",0.708333333,"CS","HT",44,"2",21,160,0.13125,"L",880,"200_pre_200_post_word"
"199","p02",0.708333333,"CS","HT",45,"1",80,160,0.5,"H",900,"200_pre_200_post_word"
"200","p02",0.708333333,"CS","HT",45,"2",20,160,0.125,"L",900,"200_pre_200_post_word"
"201","p02",0.708333333,"CS","HT",46,"1",80,160,0.5,"H",920,"200_pre_200_post_word"
"202","p02",0.708333333,"CS","HT",46,"2",7,160,0.04375,"L",920,"200_pre_200_post_word"
"203","p02",0.708333333,"CS","HT",47,"1",96,160,0.6,"H",940,"200_pre_200_post_word"
"204","p02",0.708333333,"CS","HT",47,"2",40,160,0.25,"L",940,"200_pre_200_post_word"
"205","p02",0.708333333,"CS","HT",48,"1",100,160,0.625,"H",960,"200_pre_200_post_word"
"206","p02",0.708333333,"CS","HT",48,"2",40,160,0.25,"L",960,"200_pre_200_post_word"
"207","p02",0.708333333,"CS","HT",49,"1",100,160,0.625,"H",980,"200_pre_200_post_word"
"208","p02",0.708333333,"CS","HT",49,"2",40,160,0.25,"L",980,"200_pre_200_post_word"
"209","p02",0.708333333,"CS","HT",50,"1",100,160,0.625,"H",1000,"200_pre_200_post_word"
"210","p02",0.708333333,"CS","HT",50,"2",40,160,0.25,"L",1000,"200_pre_200_post_word"
"211","p02",0.708333333,"CS","LT",30,"1",60,160,0.375,"L",600,"200_pre_200_post_word"
"212","p02",0.708333333,"CS","LT",30,"2",23,160,0.14375,"H",600,"200_pre_200_post_word"
"213","p02",0.708333333,"CS","LT",31,"1",67,160,0.41875,"L",620,"200_pre_200_post_word"
"214","p02",0.708333333,"CS","LT",31,"2",60,160,0.375,"H",620,"200_pre_200_post_word"
"215","p02",0.708333333,"CS","LT",32,"1",68,160,0.425,"L",640,"200_pre_200_post_word"
"216","p02",0.708333333,"CS","LT",32,"2",60,160,0.375,"H",640,"200_pre_200_post_word"
"217","p02",0.708333333,"CS","LT",33,"1",80,160,0.5,"L",660,"200_pre_200_post_word"
"218","p02",0.708333333,"CS","LT",33,"2",60,160,0.375,"H",660,"200_pre_200_post_word"
"219","p02",0.708333333,"CS","LT",34,"1",80,160,0.5,"L",680,"200_pre_200_post_word"
"220","p02",0.708333333,"CS","LT",34,"2",60,160,0.375,"H",680,"200_pre_200_post_word"
"221","p02",0.708333333,"CS","LT",35,"1",80,160,0.5,"L",700,"200_pre_200_post_word"
"222","p02",0.708333333,"CS","LT",35,"2",60,160,0.375,"H",700,"200_pre_200_post_word"
"223","p02",0.708333333,"CS","LT",36,"1",80,160,0.5,"L",720,"200_pre_200_post_word"
"224","p02",0.708333333,"CS","LT",36,"2",60,160,0.375,"H",720,"200_pre_200_post_word"
"225","p02",0.708333333,"CS","LT",37,"1",66,160,0.4125,"L",740,"200_pre_200_post_word"
"226","p02",0.708333333,"CS","LT",37,"2",60,160,0.375,"H",740,"200_pre_200_post_word"
